Reviewer Name,Review Rating,Review Text,Time Created,Business ID
Asma M.,4,We stayed here for 3 nights at the end of our two week trip in Portugal. Its has a very clean and modern aesthetic. They don't have a Marriott / Bonvoy...,2023-12-31 20:15:17,9wTTno6WG7cHlXDDZ00EQw
Ade S.,5,"Step into a world of refined luxury at the Four Seasons Hotel Lisbon, a.k.a The Ritz. This illustrious establishment, housed within a stunning 18th-century...",2024-02-03 09:55:05,DPkYK5RwCkAULtLJp7pOmA
Frank A.,5,Simply the best hotel in Lisbon. The Four Seasons Ritz is the hotel for both business and discerning leisure travelers to Lisbon for decades. While there...,2023-07-02 02:17:19,DPkYK5RwCkAULtLJp7pOmA
Philip M.,5,"Chris and I stayed at this hotel for one week on vacation in Lisbon.

The public areas are stunning and have beautiful artwork.

The dining is incredible....",2020-01-10 11:22:13,DPkYK5RwCkAULtLJp7pOmA
Liana T.,5,Every detail is unique and lovely. Staff is attentive and friendly.  This property is truly amazing - Cannot wait to return!!!,2023-09-08 11:33:49,UYTUME7WRO3Pz2ZiWaHCvQ
Wilson L.,5,We had an amazing stay at the Palacete Chafariz d'El Rei. We don't usually do boutique type hotels but we are so glad we did. This was so charming and the...,2021-12-16 17:01:57,UYTUME7WRO3Pz2ZiWaHCvQ
Linn L.,3,"Fantastic interior in this restored palace - went for brunch a rainy Saturday and was more blown away by the looks of the building and the inside, than the...",2015-11-14 03:53:39,UYTUME7WRO3Pz2ZiWaHCvQ
L W.,2,"We took the kids for lunch because they are fans. The food was bad, cocktails meh and service was indifferent. I had the veggie burger and it was básica...",2023-06-29 10:39:36,kRJ7hWBHNyItC1R3s36utQ
Rita R.,5,"Hotel com uma localização incrível, staff super cardeal e atento.
Comida e cocktails TOP",2023-05-10 07:02:13,kRJ7hWBHNyItC1R3s36utQ
A S.,5,"Extremely well located hotel in Lisbon, close to the waterfront (River Tagus) and the Praca do Comercio. Tourist bus stops are a very short walk away as are...",2019-01-15 03:47:04,kRJ7hWBHNyItC1R3s36utQ
Christine B.,5,I truly loved this hotel. We arrived at around 9:30 a.m. so no chance of getting our room. But Nabin greeted us so kindly and assured us that our bags would...,2023-11-21 18:10:03,UNpztKHSE0A4iXnvDr2t1g
desert g.,4,"Overall I really liked the hotel:

Pros:
Location is amazing
Staff is really helpful
Room are small but quiet and clean
Their pastel de nata was great, tiny...",2023-12-07 18:21:02,UNpztKHSE0A4iXnvDr2t1g
Natalye R.,4,"Hotel da Baixa is easy to spot with its gorgeous green tile facade. The location is prime for walking around Lisbon, but it's still very quiet. I stayed...",2022-11-30 05:30:23,UNpztKHSE0A4iXnvDr2t1g
John W.,5,"First time going to Lisbon and after a ton of poking around, I ended up going with Lx Boutique Hotel, which ended up being a solid stay due to the location,...",2022-09-25 09:23:52,oWpzjQrPE02mTTqb3-QuRA
Jim M.,5,"Great location for touring in Lisbon's main seaside area. Close to trolley 28 and a special treat - Pink Street!!!

Efficient staff, nice, quiet modern...",2023-09-26 15:35:13,oWpzjQrPE02mTTqb3-QuRA
Sam B.,4,"We stayed 2 nights in August, 2022. We usually stay up the hill in Bairro Alto but decided to give this charming hotel a try. The location is perfect -...",2022-09-02 10:43:24,oWpzjQrPE02mTTqb3-QuRA
Jen E.,5,"Where do I begin? Now this is the epitome of LUXE treatment, in a boutique hotel setting. Dare I say, in my avid travels, this is probably the best...",2023-12-03 11:46:22,73rCWP_Cgj5c13bPm82IsQ
Lisa C.,5,"Fantastic, beautiful.  Great staff.  Wonderful amenities.   I would highly recommend!    It will be where I stay my next visit.",2023-11-17 11:17:59,73rCWP_Cgj5c13bPm82IsQ
Timothy K.,5,We wanted to find a roof top place for our last night in Lisbon. This place was exactly what we were looking for. The terrace had a spectacular view of the...,2023-07-16 12:15:38,73rCWP_Cgj5c13bPm82IsQ
John X.,4,"Traveled here for vacation, short two day stay to start off the Portugal trip. Hotel is located not too far from the airport - about 20 to 25 minutes so a...",2023-11-06 21:12:17,1mkAYR_AlZeM_IkPmk-68A
Louise H.,1,"This hotel has serious problems.  We are on the 18th floor, have been club members for many years.  The arrival/check in was horrible. Handed our room card...",2023-05-27 08:37:21,1mkAYR_AlZeM_IkPmk-68A
Lucy R.,5,"I had great experience with Catherina, a customer service or front desk representative.
She was very hospitable, incredibly helpful and so friendly. She...",2022-11-19 00:01:04,1mkAYR_AlZeM_IkPmk-68A
Doris H.,4,"Stayed here 1 night end of April 2023, after checking out our 3 night stay at Hyatt Regency Lisbon. 

** Pro Tip: Look for Rib Beef and Wine Restaurant as...",2023-06-13 11:39:57,kvFNVAOHH1MEP_2uJcO1Pg
Brian M.,5,"We had a wonderful time at Pousada de Lisboa, Praça do Comércio! The location is right across from a beautiful square, and the water. I feel like it's...",2023-08-18 11:30:16,kvFNVAOHH1MEP_2uJcO1Pg
Dounya M.,5,"Wow, wow, wow.. I don't know where to begin. We are on our third day here at Pousada de Lisboa, which we booked through our travel agent at Spain Top. From...",2023-07-09 15:59:53,kvFNVAOHH1MEP_2uJcO1Pg
Robin W.,5,"You will certainly be treated like royalty at Lapa Palace!
From our first arrival off our Cruise Ship tour bus until our last moments having Room Service...",2018-07-18 11:45:03,Dds8XUKMlB6bmW3wHfyxtQ
Sungeeta A.,5,The Lapa Palace in Lisbon was a fantastic place to kick off our honeymoon. It's a beautiful hotel with the most attentive and helpful staff. It's location...,2018-11-11 11:39:13,Dds8XUKMlB6bmW3wHfyxtQ
Steve T.,5,"If you've never been to Lisbon, or Portugal for that matter, be sure to add it to your bucket list.  Lisbon has just the right mix of old and new, stodgy...",2017-10-01 19:00:16,Dds8XUKMlB6bmW3wHfyxtQ
Krista C.,5,"The chef and staff were absolutely amazing! The swordfish grilled and smoked with a passion fruit coulis was superb, a perfect balance of flavors!",2023-10-17 01:17:25,jBtK8qVZ-KlH37_NhIlaQw
Marcus K.,4,"Very nice hotel.  

Be sure to read the fine print of your rooms when you register.  There seems to be quite a difference in room size and amenities.   Some...",2019-11-28 15:20:16,jBtK8qVZ-KlH37_NhIlaQw
Bryson V.,5,Wow!  This was a wonderful place to stay.  The staff were fantastic.  They provided me with an adapter to help since I had forgotten mine at home.  The...,2019-02-18 08:41:53,jBtK8qVZ-KlH37_NhIlaQw
Barbara P.,5,"For two nights prior to our Viking River Cruise on the Duoro River in Portugal, we were very fortunate to stay at the Corinthia Lisbon Hotel. It is...",2023-08-06 20:16:12,j7aSumyYuKkLP1ZjrUUhMA
Flory W.,5,"We're staying here, during our two nights in Lisbon. Customer service was great.  Our bags were delivered to our room, very quickly on our arrival....",2022-10-03 20:44:37,j7aSumyYuKkLP1ZjrUUhMA
Cielinda Q.,5,"One of the best hotels I've ever stayed at.
Friendly service, meticulous housekeeping. 
Food is excellent. They have a few restaurants located at their...",2023-10-03 12:59:32,j7aSumyYuKkLP1ZjrUUhMA
Ally W.,5,"This hotel has a great location - walkable to touristy neighborhoods, the metro, lots of restaurants, and even luxury stores.  Despite being in a central...",2023-10-14 15:20:01,lIgc3taoaT4ZForepyUTqw
Kaitlynn M.,5,"This was simply a great hotel and if you are visiting Lisbon, I recommend that you stay here. 

First, the location is wonderful! This is walking distance...",2019-04-17 14:15:27,lIgc3taoaT4ZForepyUTqw
Wayne J.,5,"The first hotel in Europe that offers a washcloth! Large rooms, bidet, shower separate from bath, dual sinks, slippers & robes. Friendly staff. Well...",2019-10-12 22:16:52,lIgc3taoaT4ZForepyUTqw
Nancy T.,3,We are staying at this hotel for three days in Lisbon Portugal. One thing they have going for them is they have three elevators that work. Our room is very...,2023-05-24 10:47:22,H9Q1sJ0t4AZpJRM1DvOs3w
Arsalan E.,1,"I'm at the lobby bar of a ""5 star hotel"", minding my own business, and head to the front door to pick up my ubereats McDonald's. As I'm walking to pick up...",2022-11-07 18:43:58,H9Q1sJ0t4AZpJRM1DvOs3w
Alex G.,5,"Stayed in Sofitel during Web Summit for 3 nights, and was quite glad that I did.  Excellent central location, competent and friendly service. Beautiful...",2021-12-16 10:08:14,H9Q1sJ0t4AZpJRM1DvOs3w
Maulik M.,4,"I only have praise for The Intercontinental in Lisbon. Everything was really great, we enjoyed our stay of 5 nights. Nice greetings at check-in made a good...",2020-03-25 12:48:55,Ymx-nnEENCvo55ExfLpMiw
S T.,5,Beautiful setting the bar staff is amazing. The room was very clean. They give complementary waters everyday. Central location,2023-07-11 18:05:50,Ymx-nnEENCvo55ExfLpMiw
Stella A.,3,"It's a great hotel. But here are my issues. 

Housekeeping - they do not knock before attempting entry. Thank God I had latched the door. 

The shower head...",2020-02-27 01:46:10,Ymx-nnEENCvo55ExfLpMiw
Paul B.,5,"TL;DR - Charming hotel in a perfect location.

We spent a week here. Having never visited Lisbon before we were unsure on where to stay but were delighted...",2023-03-19 13:57:28,nwBdT3UNgxwPc4-inOGkSw
Gwendolyn P.,5,We stayed here during covid and had a lovely stay!  We loved the view from our room of the S. Gorges castle and of the church and the water! This was such a...,2021-07-23 04:36:34,nwBdT3UNgxwPc4-inOGkSw
Misha M.,5,Amazing stay. Super beautiful with amazing views and excellent customer service. Next time I come back I'm staying here!,2018-08-04 03:22:43,nwBdT3UNgxwPc4-inOGkSw
B H.,5,"Great hotel with an excellent staff. Loved the location, service, decor, EVERYTHING! Great spacious room with current decor. Breakfast was wonderful and the...",2023-10-10 13:41:05,b6bSO7KZQde5JdPem99RUg
Mike S.,2,"Nightmare. Let's go to the good part and then I'll jump right into the issues here. Rooms are nice looking, the ambience and assistance you get right away...",2023-11-03 15:07:57,b6bSO7KZQde5JdPem99RUg
Laken F.,5,"If you're looking for a place to stay in Lisbon, this is the place! Staff goes above and beyond to make sure your experience is 5 star. The breakfast in the...",2024-03-07 19:17:33,b6bSO7KZQde5JdPem99RUg
Aaron S.,2,I spent three nights at the DoubleTree by Hilton Hotel Lisbon - Fontana Park during my trip to the Portuguese capital towards the end of 2023. I was quite...,2023-12-14 16:32:55,Yk6x3GErEUH9vXxdzmO5nQ
Lily S.,3,"Just ok.

Pros: 
- Easily double the size of my room in Porto. 
- Good water pressure.

Cons:
- Really uncomfortable bed. That mattress took ""firm"" to the...",2023-10-20 13:57:14,Yk6x3GErEUH9vXxdzmO5nQ
Deano G.,1,Solid pass for me at this this hotel in the future. It's 10 year birthday is tonight and I think it's about 5 years overdue to a renovation.  They also had...,2023-10-02 08:37:31,Yk6x3GErEUH9vXxdzmO5nQ
Adam B.,5,"Wow, what an experience! The view is incredible on this terrace. A full view of Lisbon from the red bridge on one side to another bridge in the distance on...",2023-07-04 12:54:28,3SPxa90mdRwMLdIySZFMsw
Claudia L.,5,"This is one of the best hotels I have ever stayed in. Beautiful terrace with a pool overlooking Alfama, with a stunning view. The rooms are well-appointed...",2023-07-18 13:21:09,3SPxa90mdRwMLdIySZFMsw
Warren C.,2,"If my review seems like a 'fake engagement' or whatever is meant to describe  events that never happened, I welcome a reader to look at the details...",2023-07-07 18:58:05,3SPxa90mdRwMLdIySZFMsw
dan w.,5,"Great little hotel in heart of tourist trap Lisbon. Quiet,
 even though on a busy pedestrian street full of very obnoxious touts flashing menus in your face...",2023-11-22 10:05:53,9C4j9wot_OZgHx-LSzIg8w
HENNY N.,5,"Wonderful hotel, excellent and attentive staff.
We stayed twice during our trip to Portugal. Our rooms were spacious and super clean, the service fast and...",2023-08-20 10:37:31,9C4j9wot_OZgHx-LSzIg8w
David N.,5,This is idyllic. Near everything. Staff is over the top helpful in hotel and restaurant. Walkable to everything in Lisboa. Breakfast superb. Lucked into...,2023-10-04 09:39:36,9C4j9wot_OZgHx-LSzIg8w
Dorene W.,5,Wonderful!  Exquisite old mansion In convenient but non-touristy neighborhood. Helpful staff assisted us with private tours and dining suggestions and...,2023-05-27 17:56:24,-A0Yvm5x9xoTiExHJPseEA
Ali H.,5,One of my favorite hotels I've stayed in in Europe. So homey. Love the terrace and the garden. Staff very accommodating. Room well appointed and...,2021-06-22 03:55:25,-A0Yvm5x9xoTiExHJPseEA
Maire B.,5,So happy that our group picked this hotel when visiting Lisbon for a conference. It's a boutique hotel and the rooms are in a classic style. There's lots of...,2015-10-25 14:19:49,-A0Yvm5x9xoTiExHJPseEA
Jen E.,5,What a great stay here! I'll never forget that I first learned about this hotel when it made some Top 'Best of' List on Tripadvisor early in the summer. I...,2023-12-03 13:08:21,CW1gOMTDC5ZBnErrGx0yxw
Dimitri V.,5,"We usually shy away from hotel restaurants, so we might have passed on Porter Bistro had we known.  Luckily we were ignorant, and thoroughly enjoyed a very...",2023-11-13 10:39:48,CW1gOMTDC5ZBnErrGx0yxw
May W.,4,"Wonderful hotel but a bit off the beaten path for a 5 star hotel where skate boarders are out in the front entrance from morning to evening 
We were offered...",2023-01-31 19:11:02,CW1gOMTDC5ZBnErrGx0yxw
Michael M.,5,"Perfect place, centrally located, right next to the train station, and shopping. The rooms were very comfortable and spacious, great views.",2023-03-25 02:43:21,015YBPHeyIgjITEVjZShfA
Kimberly V.,4,The Tivoli Hotel is very close to the airport if convenient is what you are looking for. The Orienté Train station is right outside of the hotel as is a...,2019-08-27 12:58:38,015YBPHeyIgjITEVjZShfA
Michael F.,3,"I would give this hotel four stars if the A/C worked. It needs a better A/C system. I woke up at 2:00 am in a sweat box! 
My room was so hot, so I didn't...",2017-10-07 19:43:29,015YBPHeyIgjITEVjZShfA
Krista B.,5,If I could give this hotel 10 stars I would. Last hotel of our trip and had we known about how amazing it would be we would have extended our stay in the...,2023-05-24 03:10:27,ud5jr6GocT-v6_BOSqtCtg
Joyce A.,3,"A quick few hours spent before heading out for a super early international flight.
Clean spacious room, dual beds, bed duvet and pillows were...",2023-05-11 17:53:50,UMno67AjmqSKXX6xY5TmMA
Alex C.,4,An above average hotel about 15 to 20 minutes from the golden gate bridge (look alike) and the Jesus monument.  About same distance to the roof bar and...,2018-10-27 07:11:32,UMno67AjmqSKXX6xY5TmMA
Maria T.,5,"Stayed here complements of Tap Air Portugal due to a delayed flight. Its not in the city center but about a 12 minute walk to the nearest metro station,...",2018-12-19 08:15:55,UMno67AjmqSKXX6xY5TmMA
A P.,1,"The lobby of this hotel is renovated and you initially have a good impression when you enter. However, the rooms look like they're from the 1970s with...",2023-10-23 09:08:58,kz1oo1jVegg-9vWz3xfpKQ
Michael F.,5,"This hotel is not in downtown Lisbon, but it is easy to get to where you want to go by public transportation. I have stayed here numerous times and have...",2015-05-04 23:39:48,kz1oo1jVegg-9vWz3xfpKQ
Stephanie N.,5,"This place is amazing. Not only is it centrally located and in a really good district, but the staff are amazing people. They go out of their way to make...",2022-09-06 05:30:56,NJD2cy2VwKQighP2E9uJSw
Yvonne B.,5,"This is by far the cleanest hostel I've ever stayed in. Recommended by a friend, we spent 3 nights here in a private room with shared bathroom. The...",2014-12-07 11:16:02,NJD2cy2VwKQighP2E9uJSw
Michele L.,5,"LOCATION, LOCATION:  We chose this hotel because of the great reviews and it's only 5 minutes to the airport.  This is in a business district but just a few...",2014-06-28 15:58:45,_hWiNWd-EG5TTu3RvTxGWg
Dennis D.,5,"Great hotel located a short walk from the airport, it's literally 4 or 5 minute walk. The hotel is beautifully decorated and the rooms are spacious and...",2024-01-10 23:34:21,VDqVJhqbM-ot8rhvJY6N-g
David G.,4,"I was pleasantly surprised by my one night stay here. Airport hotels are usually a bit noisy but not here. It was whisper quiet due to the thick walls,...",2024-01-13 15:49:10,VDqVJhqbM-ot8rhvJY6N-g
Steve S.,4,"What a gem of an airport hotel!  We've been in Portugal for ten days and for sanity's sake needed to stay near the airport for our last night. 

We got here...",2023-04-20 13:09:04,VDqVJhqbM-ot8rhvJY6N-g
Thomas R.,5,"This was just a lucky find.  Did not want to stay in city center. Clean, great service, excellent restaurant and the beds were really comfortable. I could...",2022-10-24 11:14:40,VjsO6GrOQDoC1qrF4cjJ6w
DL M.,5,Staff were uniformly friendly and helpful. The breakfast buffet is one of the best that I have ever had. There are a number of good restaurants within easy...,2022-10-14 16:09:36,VjsO6GrOQDoC1qrF4cjJ6w
Michelle T.,5,My family and I stayed at the Jupiter Lisboa Hotel for a total of 4 nights - 2 prior to our trip to Sao Miguel and 2 after our trip to Sao Miguel. We were...,2019-10-17 22:00:49,VjsO6GrOQDoC1qrF4cjJ6w
Ausanka D.,3,"This hotel is clean. The employees are courteous, they speak English it was helpful because I don't speak Portuguese. The breakfast buffet, have a large...",2023-04-30 00:39:47,3twhTZpt-FdKNUw3pOti6A
Matthew H.,4,Clean hotel near the airport. I recently stayed a few nights here in between trips. I chose the hotel based on its proximity to the airport. They offered a...,2023-07-21 10:38:14,3twhTZpt-FdKNUw3pOti6A
Spencer R.,5,"Clean, comfortable and accommodating!  Close to the airport!  Nuno is a great bartender and offered excellent tips for places to see in Lisbon!",2023-06-03 21:46:03,3twhTZpt-FdKNUw3pOti6A
Vlad V.,3,"Over the years, I've been to quite a few Holiday Inns in the States. This time around, I stayed at the Holiday Inn Express close to Lisbon's airport as I...",2019-11-11 13:04:00,fU7Bg--A-3ndcgslmVMA7A
Mirko P.,3,"Nice clean look. The room big enough, clean and just basic amenities. Not enough electric outlets if you have multiple devices to charge. The breakfast is...",2016-10-19 04:11:16,fU7Bg--A-3ndcgslmVMA7A
Cheryl F.,2,Terrible. Given handicapped room which was very awkward and noisy. Minimal airflow in room. Very noisy. No lotion provided. Shower was so disappointing....,2019-11-29 11:16:09,fU7Bg--A-3ndcgslmVMA7A
Cage G.,1,"We were disappointed with our stay. With the new merger with Sheraton, we thought it would be a similar experience. This was not the case.
As an SPG...",2018-10-15 01:58:06,EVNkWrxhekgbFFL4s1979w
Jen E.,5,"Long overdue, but could not forget taking some time to write a review and rave about this hotel. I LOVED my stay here last November. Exactly why I enjoy...",2024-01-21 21:45:48,cVgaf5yAQgvVlz1L4EROMw
Tim S.,5,Awesome staff and hotel. The front desk staff were friendly and helpful. The housekeeping and wait staff at the bar and restaurant were also great. Hotel...,2023-09-11 11:11:42,cVgaf5yAQgvVlz1L4EROMw
Elizabeth C.,5,"A highlight of our trip to Portugal at a reasonable price! The breakfast, and the dining room/restaurant was exceptional. it was really well planned,...",2022-06-20 05:54:05,cVgaf5yAQgvVlz1L4EROMw
Fay S.,4,We came across this hotel on Priceline and decided that we were going to come to Portugal and stay at this hotel. What a pleasant surprise and a great...,2023-10-05 14:18:29,KNBeo2aSxXtuMLJy9nkldg
Tom W.,4,"Location, location! Great spot with easy access to everything going on here. Whether you are touring the castle, shopping or dining this place is in the...",2022-09-12 04:11:32,KNBeo2aSxXtuMLJy9nkldg
Kyra J.,5,Awesome hotel that is worthy of their four star rating. The location is in the heart of the city center AND is super easy to get from the airport. Take the...,2019-10-15 12:16:57,KNBeo2aSxXtuMLJy9nkldg
Joe P.,5,"Beautiful, small hotel with wonderful service and a delightful rooftop restaurant and bar. Staff was extremely helpful and quite accommodating. The rooftop...",2024-01-29 01:12:23,hLOIMUqiZpYmXq7Re_vhCg
JOHN C.,5,"This is a spectacular boutique hotel, perfectly located in the Barrio Alta neighborhood.  Service is outstanding, our check-in and check-out experience was...",2022-11-23 07:00:52,hLOIMUqiZpYmXq7Re_vhCg
Lori N.,5,"This is my second favorite hotel in all the world.  My first is the Villa D' Este on Lake Como, Italy, where we honeymooned.  This isn't nearly as grand,...",2018-05-31 17:54:26,hLOIMUqiZpYmXq7Re_vhCg
Alana W.,1,Do NOT stay here. I stayed here while on vacation for my 30th birthday and two of my personal items were stolen by the cleaning staff. Very dissatisfied and...,2023-05-30 19:31:44,fQ5jbSMa2Mu2ozdDhKmx6Q
Olwen C.,4,We had a pleasant stay at this Holiday Inn Express. Stayed for 5 nights in February 2017. The service was excellent. Everyone at the front desk was friendly...,2017-02-15 14:24:51,fQ5jbSMa2Mu2ozdDhKmx6Q
Brad T.,5,"This is one of the best places to stay in Lisbon hands down for so many factors. The location is just down the street from Marquis de Pombal, a stones throw...",2016-08-02 12:51:43,fQ5jbSMa2Mu2ozdDhKmx6Q
CJ W.,1,Old outdated hotel in desperate need of a refresh. Weird room and bathroom layouts. Stay away from this property.,2023-05-13 10:30:10,gLS7NknLeHkeQWA28xmtyw
Ann P.,5,"Newly renovated affordable Holiday Inn in Lisbon. Beautiful detailed, clean centrally located in town square. Comfortable bed, Pillows, beautiful bathroom...",2018-06-05 22:07:12,gLS7NknLeHkeQWA28xmtyw
Miguel A.,1,"If I could give this place zero stars I would! We chose this place as a last resort because all other places were booked, but if you can avoid this place...",2018-03-25 03:04:59,gLS7NknLeHkeQWA28xmtyw
Gillynn C.,4,The elevators are tiny here. We barely got our luggage to fit. Great location  and so close to the sanctuary. This place is beautiful,2023-09-16 10:17:05,jZB4itjaySaxsJredM-QUg
Junaed S.,5,We stayed here around Thanksgiving break on the second leg of our Europe trip with friends. I wasn't sure what to expect because I had never heard of this...,2019-01-11 20:35:49,jZB4itjaySaxsJredM-QUg
Justin T.,4,"Awesome staff, great food recommendations, and very professional!!! They were definitely there with restaurant recommendations for people from out of town....",2018-02-28 17:25:00,jZB4itjaySaxsJredM-QUg
Oren R.,2,"I just ate at Tanuki Sushi but I couldn't find it on Yelp so I put my review on this place cuz it's next to it or something. It was sooo mid. I sat down,...",2023-05-17 13:56:58,LlxwyFGwEW9IpRaDIXWefw
Courtney O.,5,"My husband and I stayed at My Story Ouro in August; the room was clean and modern, the staff was super friendly, the breakfast was amazing, and the hotel is...",2023-08-30 12:42:09,LlxwyFGwEW9IpRaDIXWefw
David J.,5,"We recently stayed stayed at the My Story hotel on Rua Áurea. It's one of a chain, with each hotel named after the street it's in. It's very centrally...",2020-02-18 10:05:05,LlxwyFGwEW9IpRaDIXWefw
Anika G.,5,"My best friend & I spent four glorious days in Lisbon. Brown's Boutique Hotel was fabulous. From the decor in the lobby, to the rooms, to the attentiveness...",2023-08-29 00:21:39,MnYLrGHe8ajtDWkDFa3O6A
Kimberly K.,5,The location of Brown's Boutique Hotel was perfect for exploring all Lisbon has to offer. It's right in the heart of Lisbon and you're steps away from...,2019-11-13 01:49:40,MnYLrGHe8ajtDWkDFa3O6A
Laura C T.,2,I really wanted to like it here. The location is great and the rooms are beautiful with modern decor and having a computer in each room was a nice touch....,2014-03-29 02:38:37,MnYLrGHe8ajtDWkDFa3O6A
Christine P.,4,"We loved this hotel. We would stay at an H10 property again based on our experience here at this one! While we were staying there, we used the laundry...",2024-01-09 19:13:23,VBEE8AojX0VPAjJ54Cn2ig
Patricia M.,4,"Great location off the Main Street, walking distance to old town, Lisbon.   Upon arrival, Antonio and Patricia were very welcoming and courteous.   These...",2021-11-28 20:02:24,VBEE8AojX0VPAjJ54Cn2ig
Emily C.,5,We had a phenomenal time at the H10!  All the staff were extremely helpful and friendly and the hotel itself was gorgeous.  The modern amenities were...,2017-07-21 20:39:50,VBEE8AojX0VPAjJ54Cn2ig
Dan A.,4,The NH hotel is close to the airport (less than 10 minutes by Taxi) very close to the Peninsular war monument.  Had an early flight back so wanted to be...,2019-06-25 15:00:22,qLN6VZB2fUukrEqMfUdRfA
Krys P.,4,"Quite a nice hotel, bed is a nice queen-size, not two standard put together, and very comfortable. Our room also has a mini-fridge and a bathtub instead of...",2015-05-23 18:59:22,qLN6VZB2fUukrEqMfUdRfA
Marlene A.,2,Room was tired and old. No amenities whatsoever.  Location is not recommended too far away from town. There are a lot better hotels for a lot less closer to...,2018-04-14 03:02:22,qLN6VZB2fUukrEqMfUdRfA
Elise C.,3,Checked out for the weekend and returned for business. Asked for an iron which they told me were all in use. I come back and ask again after work and they...,2018-06-19 00:30:05,tNkH0rj1ElRB6LIskSZQrA
Walter W.,1,Skip it. The ACS don't work. The showers all have little half doors that will leave you freezing the whole time. The guy that works the bar Mario I believe...,2020-02-14 13:16:05,Ik1qNmBUEKRBNcvw-3mW2w
Hafiz S.,2,"Not far from the Lisbon train station, decent location. All you will find in the area is a small amount of restaurants (nothing appealed to me) and other...",2019-02-21 22:01:47,Ik1qNmBUEKRBNcvw-3mW2w
Ruth V.,4,"The best hotels i like fr the 3 cities ive been.. Clean n nice, modern interior, perfectly blended its location too bec its a financial district n lisboa....",2014-11-15 06:46:32,Ik1qNmBUEKRBNcvw-3mW2w
Kay K.,3,"Good location, walking distance to mega mall, grocery store and restaurants but removed enough that it's quiet. Rooms are musty and extremely dry though....",2023-11-30 22:12:27,tJ4NnMzgGdZgE2iR08dFVQ
Eve B.,4,This hotel was ok. It's along a busy highway and not very walkable to much (except maybe El Corto Englais) and a cafe or two. The rooms were decent but the...,2023-01-24 08:48:44,tJ4NnMzgGdZgE2iR08dFVQ
Ulrich G.,3,"service and breakfast great, rooms great but location in the fly zone of the Lisbon airport is a little bit special. For business meetings good - for...",2017-06-23 13:36:37,tJ4NnMzgGdZgE2iR08dFVQ
Justin M.,5,"Very nice hotel. I only stayed one night, but I enjoyed my stay there. I mostly chose this hotel because it is conveniently located to Oriente train...",2022-11-12 14:16:39,gObbdCVsv0A5Fch_OdZhGg
Sophie Y.,5,Stayed in this hotel the first night in Lisbon and it's convenient located just 10 minutes walking from Oriente station. We requested a higher floor 11th...,2022-11-07 14:34:40,gObbdCVsv0A5Fch_OdZhGg
Kelly M.,3,"VIP was ok - IMO, not the 4star they advertise.  The bed was hard, no clock, the minifridge was warm and only works when you have the key in the electricity...",2019-02-21 11:59:19,gObbdCVsv0A5Fch_OdZhGg
Jen V.,5,"Clean, comfortable hotel with a good restaurant. The staff were very friendly and attentive. We were welcomed with complimentary cake and a personal note...",2024-03-02 05:05:33,hA7Hy6TujgtRZNgx1kZhDQ
